PDF,RelativePath,Status,TotalPages,PagesCreated,PagesSkipped,PagesFailed,DPI,JPEGQuality,Seconds,Error
23A8XIGA__LA TACO - 2017 - Preview Ron English “Toybox America In The Visuals”(2).pdf,23A8XIGA__LA TACO - 2017 - Preview Ron English “Toybox America In The Visuals”(2).pdf,Completed,3,0,3,0,200,90,0.0,
24HD99YI__Petrick - 2005 - Batman and Barb1e.pdf,24HD99YI__Petrick - 2005 - Batman and Barb1e.pdf,Completed,2,0,2,0,200,90,0.0,
"26KUBRUG__Eller - 2016 - Coverage Ron English Solo Exhibition “Guernica” Opening at Allouche Gallery 102416, NYC.pdf","26KUBRUG__Eller - 2016 - Coverage Ron English Solo Exhibition “Guernica” Opening at Allouche Gallery 102416, NYC.pdf",Completed,7,0,7,0,200,90,0.0,
27DUBCQX__Leung - 2018 - Artspace ' s COVID-19 Benefit Auction Supports Underserved Artists and Communities.pdf,27DUBCQX__Leung - 2018 - Artspace ' s COVID-19 Benefit Auction Supports Underserved Artists and Communities.pdf,Completed,2,2,0,0,200,90,0.4,
27U97CTC__Abraão - 2014 - Ron English ‘Do Estúdio Para A Rua’ No Rio De Janeiro.pdf,27U97CTC__Abraão - 2014 - Ron English ‘Do Estúdio Para A Rua’ No Rio De Janeiro.pdf,Completed,1,1,0,0,200,90,0.25,
29H84TPK__Sleepboy - 2016 - Recap Ron English – “Guernica” @ Allouche Gallery.pdf,29H84TPK__Sleepboy - 2016 - Recap Ron English – “Guernica” @ Allouche Gallery.pdf,Completed,5,5,0,0,200,90,1.7,
2BCENDWB___.pdf,2BCENDWB___.pdf,Completed,4,4,0,0,200,90,1.54,
2BWL3YBC__Didi Hu - 2017 - 追溯童年，Ron English 将开启个展《TOYBOX America in the Visuals》.pdf,2BWL3YBC__Didi Hu - 2017 - 追溯童年，Ron English 将开启个展《TOYBOX America in the Visuals》.pdf,Completed,2,2,0,0,200,90,0.62,
2BYPT8NF__Short - 2017 - 15 Captivating Works Of Art That Challenge The McDonaldization Of Society.pdf,2BYPT8NF__Short - 2017 - 15 Captivating Works Of Art That Challenge The McDonaldization Of Society.pdf,Completed,3,3,0,0,200,90,0.79,
"2C3J4C6C__Man - 2017 - An Interview With Ron English, and Work From His New Show “TOYBOX” at Corey Helford Gallery.pdf","2C3J4C6C__Man - 2017 - An Interview With Ron English, and Work From His New Show “TOYBOX” at Corey Helford Gallery.pdf",Completed,1,1,0,0,200,90,0.23,
2E8VT8AH__Corey Helford Gallery - 2011 - Ron English.pdf,2E8VT8AH__Corey Helford Gallery - 2011 - Ron English.pdf,Completed,3,3,0,0,200,90,0.58,
2EUZHE9Q__Galperina - 2010 - Amber Rose Tentacle Lovin’ and Other Ron English Funnies.pdf,2EUZHE9Q__Galperina - 2010 - Amber Rose Tentacle Lovin’ and Other Ron English Funnies.pdf,Completed,1,1,0,0,200,90,0.31,
2F29ISV4__Chesler - 2016 - Ron English Discusses the State of Pop Art in 2016.pdf,2F29ISV4__Chesler - 2016 - Ron English Discusses the State of Pop Art in 2016.pdf,Completed,5,5,0,0,200,90,1.02,
"2GFEWHQM__Stavsky - 2011 - David Ellis, Ron English, Futura, Saber, Sixeart, & more @ Opera Gallery’s “Abstractions”.pdf","2GFEWHQM__Stavsky - 2011 - David Ellis, Ron English, Futura, Saber, Sixeart, & more @ Opera Gallery’s “Abstractions”.pdf",Completed,1,1,0,0,200,90,0.24,
2GPUI9CS__Fine Art magazine - 2018 - Ron English.pdf,2GPUI9CS__Fine Art magazine - 2018 - Ron English.pdf,Completed,2,2,0,0,200,90,0.49,
